brand,model,mileage,fuel_type,engine,ext_col,int_col,accident,clean_title,price,mile_bin,car_age,price_per_mile,ext_col_grouped
Ford,Utility Police Interceptor Base,51000,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,Black,Black,1.0,1,10300.0,40k-60k,12,0.2019607843137255,Black
Hyundai,Palisade SEL,34742,Gasoline,3.8L V6 24V GDI DOHC,Moonlight Cloud,Gray,1.0,1,38005.0,20k-40k,4,1.0939209026538483,other
Lexus,RX 350 RX 350,22372,Gasoline,3.5 Liter DOHC,Blue,Black,0.0,0,54598.0,20k-40k,3,2.4404612908993384,Blue
INFINITI,Q50 Hybrid Sport,88900,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Black,Black,0.0,1,15500.0,80k-100k,10,0.17435320584926883,Black
Audi,Q3 45 S line Premium Plus,9835,Gasoline,2.0L I4 16V GDI DOHC Turbo,Glacier White Metallic,Black,0.0,0,34999.0,0-20k,4,3.5586171835282157,other
Acura,ILX 2.4L,136397,Gasoline,2.4 Liter,Silver,Ebony.,0.0,0,14798.0,100k-150k,9,0.10849212226075354,Silver
Audi,S3 2.0T Premium Plus,84000,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Blue,Black,0.0,1,31000.0,80k-100k,8,0.36904761904761907,Blue
BMW,740 iL,242000,Gasoline,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Green,Green,0.0,1,7300.0,200k+,24,0.03016528925619835,other
Lexus,RC 350 F Sport,23436,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Black,Black,0.0,1,41927.0,20k-40k,4,1.7889998293224099,Black
Tesla,Model X Long Range Plus,34000,Electric,534.0HP Electric Motor Electric Fuel System,Black,Black,0.0,1,69950.0,20k-40k,5,2.0573529411764704,Black
Land,Rover Range Rover Sport 3.0 Supercharged HST,27608,Gasoline,V6,Fuji White,Pimento / Ebony,0.0,0,73897.0,20k-40k,4,2.676651695160823,other
Aston,Martin DBS Superleggera,22770,Gasoline,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,Silver,Black,0.0,1,184606.0,20k-40k,6,8.10742204655248,Silver
Toyota,Supra 3.0 Premium,12500,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Yellow,Black,0.0,1,53500.0,0-20k,4,4.28,other
Lincoln,Aviator Reserve AWD,18196,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Brown,0.0,1,62000.0,0-20k,3,3.407342273027039,Black
Jaguar,F-TYPE,15903,Gasoline,2.0 Liter Supercharged,Silver,Black,0.0,0,47998.0,0-20k,5,3.0181726718229265,Silver
Land,Rover LR4 HSE,79800,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,White,Black,0.0,1,29990.0,60k-80k,12,0.37581453634085216,White
Mercedes-Benz,Metris Base,1685,Gasoline,2.0L I4 16V GDI DOHC Turbo,Gray,White,0.0,1,250000.0,0-20k,4,148.3679525222552,Gray
Dodge,Challenger SXT,61074,Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Black,Gray,0.0,1,16800.0,60k-80k,12,0.27507613714510265,Black
